ShipmentSK,OrderID,OrderDate,PickupDate,DeliveryDate,OriginCity,DestinationCity,DistanceKM,WeightKG,VolumeM3,Carrier,ShippingType,VehicleType,CustomerType,PaymentMethod,WarehouseID,DriverID,ShippingCostIDR,FuelSurchargeIDR,PlannedDeliveryDays,ActualDeliveryDays,DeliveryStatus,DelayReason,CustomerRating
1,ORD2023005830,2025-08-16,2025-08-17,2025-08-24,MAKASSAR,SEMARANG,1173.2,7.11,0.031,ID Express,Instant,Kontainer 20ft,B2C,COD,WH-MED-02,DRV-214,93200.0,2290.0,3,7.0,Returned,Penerima menolak,
2,ORD2023004005,2025-01-08,2025-01-09,2025-01-13,PEKANBARU,YOGYAKARTA,1587.9,2.88,0.014,Ninja Xpress,Express,Truk Fuso,B2C,Virtual Account,WH-MAK-02,DRV-428,58900.0,3260.0,4,4.0,Delivered,No Delay,4.0
3,ORD2023003417,2024-09-19,2024-09-19,2024-09-26,PALEMBANG,BALIKPAPAN,1496.0,19.83,0.072,ID Express,Ekonomi,Truk CDD,B2B,Kartu Kredit,WH-MED-02,DRV-339,79900.0,1910.0,3,7.0,Returned,Barang rusak,
4,ORD2023000608,2025-08-05,2025-08-06,2025-08-09,BANJARMASIN,MANADO,1424.6,21.8,0.195,SiCepat,Reguler,Van,B2B,Kartu Kredit,WH-JAK-01,DRV-219,66700.0,4070.0,3,3.0,Delivered,No Delay,3.0
5,ORD2023001342,2025-07-17,2025-07-17,2025-07-26,MAKASSAR,PEKANBARU,2373.3,40.43,0.127,Wahana,Ekonomi,Kontainer 20ft,B2B,E-Wallet,WH-MED-02,DRV-484,158100.0,4980.0,9,9.0,Delivered,No Delay,5.0
6,ORD2023000986,2024-05-30,2024-05-31,2024-06-03,BANJARMASIN,BANDUNG,1144.3,11.2,0.091,Wahana,Reguler,Truk CDD,B2C,COD,WH-MAK-02,DRV-153,56900.0,1610.0,3,3.0,Delivered,No Delay,1.0
7,ORD2023002409,2025-04-11,2025-04-12,2025-04-19,MEDAN,SURABAYA,2626.2,5.46,0.012,J&T Express,Express,Kontainer 20ft,B2C,E-Wallet,WH-JAK-02,DRV-215,92300.0,2710.0,7,7.0,Delivered,No Delay,4.0
8,ORD2023000826,2023-12-20,2023-12-20,2023-12-21,SEMARANG,MALANG,324.9,9.37,0.085,Lion Parcel,Express,Truk CDD,B2C,Kartu Kredit,WH-MED-01,DRV-404,60800.0,4190.0,1,1.0,Delivered,No Delay,1.0
9,ORD2023001105,2023-06-05,2023-06-05,,MEDAN,BATAM,824.0,26.73,0.062,GoSend Logistics,Reguler,Truk Fuso,B2C,Kartu Kredit,WH-MAK-02,DRV-234,132500.0,3490.0,2,,Lost,Barang hilang dalam pengiriman,
10,ORD2023001179,2023-02-18,2023-02-18,2023-02-25,PEKANBARU,SURABAYA,1981.5,0.62,0.006,SiCepat,Reguler,Motor,B2C,Transfer Bank,WH-SUR-02,DRV-201,32000.0,2470.0,5,7.0,Delayed,Kepadatan lalu lintas,1.0
11,ORD2023000954,2023-07-22,2023-07-23,2023-07-29,SURABAYA,SEMARANG,307.9,6.29,0.035,J&T Express,Kargo,Truk Engkel,B2C,E-Wallet,WH-JAK-02,DRV-310,34400.0,990.0,1,6.0,Returned,Penerima menolak,
12,ORD2023005772,2024-02-16,2024-02-17,2024-02-19,MEDAN,PEKANBARU,528.9,7.76,0.021,Wahana,Kargo,Kontainer 20ft,B2C,COD,WH-JAK-02,DRV-104,33000.0,1470.0,1,2.0,Delivered,No Delay,5.0
13,ORD2023005597,2025-06-17,2025-06-17,2025-06-21,PALEMBANG,MEDAN,1308.6,9.46,0.062,JNE,Instant,Truk CDD,B2C,COD,WH-JAK-02,DRV-444,104400.0,4950.0,3,4.0,Delivered,No Delay,5.0
14,ORD2023000403,2025-06-06,2025-06-06,2025-06-20,MEDAN,DENPASAR,2844.4,0.85,0.006,Pos Indonesia,Kargo,Truk Fuso,B2B,E-Wallet,WH-MAK-02,DRV-175,33600.0,1010.0,10,14.0,Delayed,Kesalahan alamat,1.0
15,ORD2023001445,2024-08-27,2024-08-27,2024-09-02,SURABAYA,BANJARMASIN,620.3,10.35,0.055,Pos Indonesia,Kargo,Van,B2C,Transfer Bank,WH-MAK-02,DRV-225,44400.0,2130.0,2,6.0,Delayed,Kesalahan alamat,3.0
16,ORD2023005640,2024-07-07,2024-07-07,2024-07-10,BANJARMASIN,YOGYAKARTA,865.9,12.72,0.027,J&T Express,Instant,Truk Fuso,B2C,COD,WH-SUR-01,DRV-286,104500.0,4370.0,2,3.0,Delivered,No Delay,4.0
17,ORD2023002733,2024-01-08,2024-01-08,2024-01-09,PALEMBANG,BATAM,495.9,13.19,0.078,AnterAja,Reguler,Kontainer 20ft,B2B,E-Wallet,WH-MAK-02,DRV-234,59000.0,1500.0,1,1.0,Delivered,No Delay,5.0
18,ORD2023002654,2023-04-09,2023-04-10,2023-04-14,BATAM,BALIKPAPAN,1580.5,2.65,0.008,GoSend Logistics,Ekonomi,Motor,B2C,COD,WH-MAK-01,DRV-127,27000.0,1190.0,3,4.0,Delivered,No Delay,5.0
19,ORD2023004201,2023-10-09,2023-10-10,2023-11-01,MEDAN,MANADO,3885.1,10.49,0.03,J&T Express,Reguler,Truk Fuso,B2C,Virtual Account,WH-MED-01,DRV-167,82200.0,4120.0,15,22.0,Returned,Alamat tidak ditemukan,
20,ORD2023005380,2024-05-31,2024-05-31,2024-06-09,BATAM,SEMARANG,1523.1,5.78,0.054,Lion Parcel,Express,Truk Engkel,B2C,Transfer Bank,WH-MED-01,DRV-358,89500.0,2000.0,4,9.0,Delayed,Kendala bea cukai,1.0
21,ORD2023004292,2024-02-22,2024-02-22,2024-02-28,BATAM,BALIKPAPAN,1838.0,16.1,0.144,SiCepat,Kargo,Van,B2B,Kartu Kredit,WH-SUR-02,DRV-213,52800.0,3720.0,6,6.0,Delivered,No Delay,5.0
22,ORD2023000360,2024-08-10,2024-08-10,2024-08-14,MAKASSAR,BATAM,2015.8,7.65,0.024,Ninja Xpress,Reguler,Truk Engkel,B2C,COD,WH-JAK-02,DRV-211,46700.0,1460.0,4,4.0,Delivered,No Delay,4.0
23,ORD2023002807,2024-03-17,2024-03-17,2024-03-19,DENPASAR,BANJARMASIN,780.0,62.44,0.528,J&T Express,Reguler,Motor,B2C,Transfer Bank,WH-JAK-02,DRV-327,232900.0,13980.0,2,2.0,Delivered,No Delay,3.0
24,ORD2023003251,2025-07-09,2025-07-10,2025-07-13,MAKASSAR,SURABAYA,959.6,4.57,0.043,JNE,Instant,Van,B2C,E-Wallet,WH-SUR-01,DRV-156,85400.0,6170.0,2,3.0,Delivered,No Delay,5.0
25,ORD2023003167,2025-04-25,2025-04-25,2025-05-01,BATAM,SURABAYA,1555.1,9.47,0.041,Wahana,Instant,Van,B2B,Transfer Bank,WH-JAK-02,DRV-442,140900.0,10280.0,6,6.0,Delivered,No Delay,5.0
